id_jugador;full_name;name;last_name;age;birthday_GMT;position_campo;current_club;nationality
182;Diego Gabriel Azcurra;Diego;Gabriel Azcurra;25;NULL;Midfielder;Sarmiento;Argentina
183;Diego Godin;Diego;Godin;37;NULL;Defender;Velez Sarsfield;Uruguay
184;Diego Herni Gonzalez;Diego;Herni Gonzalez;35;NULL;Midfielder;Boca Juniors;Argentina
185;Diego Luis Braghieri;Diego;Luis Braghieri;36;NULL;Defender;Lanus;Argentina
186;Diego Luis Valoyes Ruiz;Diego;Luis Valoyes Ruiz;26;NULL;Forward;Talleres Cordoba;Colombia
187;Diego Martin Novaretti;Diego;Martin Novaretti;38;NULL;Defender;Belgrano;Argentina
188;Diego Mastrigelo;Diego;Mastrigelo;20;NULL;Defender;Gimnasia La Plata;Argentina
189;Diego Matias Rodriguez;Diego;Matias Rodriguez;34;NULL;Goalkeeper;Godoy Cruz;Argentina
190;Diego Ortegoza;Diego;Ortegoza;26;NULL;Midfielder;Talleres Cordoba;Argentina
191;Diego Perea;Diego;Perea;20;NULL;Forward;San Lorenzo;Colombia
192;Diego Valentin Gomez;Diego;Valentin Gomez;20;NULL;Defender;Velez Sarsfield;Argentina
193;Diego Vasquez;Diego;Vasquez;22;NULL;Forward;Central Cordoba SdE;Argentina
194;Djorkaeff Neicer Reasco Gonzalez;Djorkaeff;Neicer Reasco Gonzalez;24;NULL;Midfielder;Instituto;Ecuador
195;Dylan Aquino;Dylan;Aquino;18;NULL;Midfielder;Lanus;Argentina
196;Dylan Gamarra;Dylan;Gamarra;18;NULL;Midfielder;Banfield;Argentina
197;Dylan Gissi;Dylan;Gissi;32;NULL;Defender;Defensa y Justicia;Switzerland
198;Ederson Salomon Rodriguez Lima;Ederson;Salomon Rodriguez Lima;23;NULL;Forward;Godoy Cruz;Uruguay
199;Edgar Joel Elizalde Ferreira;Edgar;Joel Elizalde Ferreira;23;NULL;Defender;Independiente;Uruguay
200;Edilson Salinas;Edilson;Salinas;21;NULL;Goalkeeper;Godoy Cruz;Argentina
201;Edinson Cavani;Edinson;Cavani;36;NULL;Forward;Boca Juniors;Uruguay
202;Edison Mauricio Duarte Barajas;Edison;Mauricio Duarte Barajas;31;NULL;Defender;Central Cordoba SdE;Colombia
203;Edwin Cardona;Edwin;Cardona;30;NULL;Midfielder;Racing Club;Colombia
204;Edwin Stiven Mosquera Palacios;Edwin;Stiven Mosquera Palacios;22;NULL;Forward;Defensa y Justicia;Colombia
205;Elii Mateo;Elii;Mateo;23;NULL;Midfielder;San Lorenzo;Argentina
206;Elias de Jesus Baez Sotelo;Elias;de Jesus Baez Sotelo;18;NULL;Midfielder;San Lorenzo;Argentina
207;Elias Jose Gomez;Elias;Jose Gomez;29;NULL;Midfielder;Velez Sarsfield;Argentina
208;Elias Lautaro Cabrera;Elias;Lautaro Cabrera;20;NULL;Forward;Velez Sarsfield;Argentina
209;Emanuel Bilbao;Emanuel;Bilbao;33;NULL;Goalkeeper;Instituto;Argentina
210;Emanuel Coronel;Emanuel;Coronel;26;NULL;Defender;Banfield;Argentina
211;Emanuel Mammana;Emanuel;Mammana;27;NULL;Defender;River Plate;Argentina
212;Emanuel Mariano Insua Zapata;Emanuel;Mariano Insua Zapata;32;NULL;Defender;Banfield;Argentina
213;Emanuel Matias Ma;Emanuel;Matias Ma;34;NULL;Defender;Colon;Argentina
214;Emanuel Olivera;Emanuel;Olivera;33;NULL;Defender;Banfield;Argentina
215;Emiliano Daniel Saliadarre;Emiliano;Daniel Saliadarre;21;NULL;Forward;Racing Club;Argentina
216;Emiliano Insua;Emiliano;Insua;34;NULL;Defender;Racing Club;Argentina
217;Emiliano Sebastii Viveros Mereles;Emiliano;Sebastii Viveros Mereles;20;NULL;Midfielder;Arsenal de Sarandi;Argentina
